FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,Classifications 1,Classifications 2,Classifications 3,Classifications 4,Classifications 5,Other Classifications,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,duration,price
AHRC,AH/J004367/1,De Montfort University,School of Media and Communication,Research Grant,Brown,Stephen,NA,NA,NA,NA,NA,NA,FuzzyPhoto,2012-11-01,2014-11-30,313756,NA,NA,Closed,Artificial Intelligence,Information & Knowledge Mgmt,Photography HTP,NA,NA,NA,https://gtr.ukri.org:443/projects?ref=AH/J004367/1,106018E1-64BF-4702-895B-12D326C3E905,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,DF259B19-FD17-4588-BFEF-AD08F1193451,1639EF16-4EBE-4E3B-91F5-CA8C88E917EA,759,413.3807641633729
AHRC,AH/T011114/1,The National Archives,Collection Care,Research Grant,Angelova,Lora,NA,http://orcid.org/0000-0003-2496-9310,NA,NA,NA,NA,Deep Discoveries,2020-02-01,2021-07-31,201229,NA,NA,Active,Archives,Artificial Intelligence,Conservation Of Art & Textiles,Heritage Management,Image & Vision Computing,NA,https://gtr.ukri.org:443/projects?ref=AH/T011114/1,9F51F2BF-91FD-457F-9A09-FE82DFFB99A8,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,6B007324-0D1B-4BCC-82BC-DE8439263BA8,055609A0-3826-4CB0-A83B-7F09FEAA0585,546,368.55128205128204
AHRC,AH/V014668/1,Kingston University,"Sch of Arts, Culture and Communication",Research Grant,Ben-Tal,Oded,NA,NA,NA,NA,NA,NA,"Datasounds, datasets and datasense: Unboxing the hidden layers between musical data, knowledge and creativity",2021-10-01,2023-01-31,31606,NA,NA,Active,Artificial Intelligence,Composition,Music & Acoustic Technology,Musical Performance,Musicology,NA,https://gtr.ukri.org:443/projects?ref=AH/V014668/1,09D38BFD-5498-43EE-ACB2-5F41D789408A,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,6E750E7A-C076-435E-8AB0-484F65D6C7AD,08E9C038-DB22-4F79-B1D8-F8228F8DF0E4,487,64.89938398357289
AHRC,AH/S01179X/1,The Alan Turing Institute,Research,Research Grant,Ahnert,Ruth,NA,NA,NA,NA,NA,NA,Living with Machines,2018-09-01,2023-08-31,8994959,NA,NA,Active,Archives,Artificial Intelligence,Computational Linguistics,Economic & Social History,Information & Knowledge Mgmt,NA,https://gtr.ukri.org:443/projects?ref=AH/S01179X/1,CD05DB1F-27D7-4EBA-B35A-4E0EE8360EDE,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,932BEDE4-B3F0-4A95-B84F-3DC4EEC73F0E,B423BA87-75BA-4E39-8B79-5AB634E58241,1825,4928.7446575342465
AHRC,AH/J005940/1,University of Wolverhampton,Research Inst of Info & Lang Processing,Research Grant,Mitkov,Ruslan,NA,NA,NA,NA,NA,NA,Disambiguation of Verbs by Collocation,2012-10-01,2015-09-30,605585,NA,NA,Closed,Artificial Intelligence,Comput./Corpus Linguistics,Lexicon,Linguistic Theory,Linguistics (General),NA,https://gtr.ukri.org:443/projects?ref=AH/J005940/1,1A5A35EA-D54D-4AA0-A214-3FECFD966A37,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,1A3C4B4D-A492-43D4-BD25-729BD718D1E9,07C483C2-0F8E-4F63-82D5-15205EF83059,1094,553.5511882998172
AHRC,AH/M003086/1,University of Exeter,English,Research Grant,Hall,Jason,NA,NA,NA,NA,NA,NA,"Poetry by Numbers, Then and Now: Metre, Mathematics, Machines and Manufacture",2014-12-31,2016-06-30,64186,NA,NA,Closed,Artificial Intelligence,Classical Reception,English Language & Literature,Fundamentals of Computing,Science and Technology Studies,NA,https://gtr.ukri.org:443/projects?ref=AH/M003086/1,40E8222D-165F-4308-B112-68F7756240F8,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,961756BF-E31F-4A13-836F-0A09BA02385C,2593282C-A4F2-4571-9417-6FD817EFADE0,547,117.3418647166362
AHRC,AH/V009443/1,Loughborough University,Humanities,Research Grant,Jaillant,Lise,NA,http://orcid.org/0000-0002-2680-4571,NA,NA,NA,NA,AEOLIAN (Artificial intelligence for cultural organisations),2021-02-01,2023-01-31,48572,NA,NA,Active,Archives,Artificial Intelligence,Cultural History,English Language & Literature,NA,NA,https://gtr.ukri.org:443/projects?ref=AH/V009443/1,E3B8B43E-65B2-4D22-BDBF-7438435EC0EF,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF,00B480FD-BE7E-4327-9E7B-4553429C0BD8,729,66.62825788751715
AHRC,AH/S002839/1,University of York,Electronics,Research Grant,Murphy,Damian,NA,NA,NA,NA,NA,NA,Creative Media Labs: Innovations in Screen Storytelling in the Age of Interactivity and Immersion,2018-10-08,2023-04-07,5872859,NA,NA,Active,Artificial Intelligence,Human-Computer Interactions,Multimedia,New Media/Web-Based Studies,"Policy, Arts Mgmt & Creat Ind",NA,https://gtr.ukri.org:443/projects?ref=AH/S002839/1,C4C85A62-B372-40D3-8276-978F45DDBE64,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,8319F78A-DCBD-49F6-BE00-78E1CD75CDA9,CB8D8CC3-4C12-41DE-B5E1-C13656BB68BB,1642,3576.6498172959805
AHRC,AH/V002341/1,Loughborough University,Humanities,Research Grant,Jaillant,Lise,NA,http://orcid.org/0000-0002-2680-4571,NA,NA,NA,NA,"AURA (Archives in the UK/ Republic of Ireland &amp; AI): Bringing together Digital Humanists, Computer Scientists &amp; stakeholders to unlock cultural assets",2020-08-01,2021-12-31,24194,NA,NA,Active,Archives,Artificial Intelligence,Cultural History,English Language & Literature,NA,NA,https://gtr.ukri.org:443/projects?ref=AH/V002341/1,A603C73A-BB37-4835-83A4-B8EA8615490D,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF,00B480FD-BE7E-4327-9E7B-4553429C0BD8,517,46.79690522243714
AHRC,AH/T001216/1,Goldsmiths College,Computing Department,Research Grant,Pan,Xueni,NA,NA,NA,NA,NA,NA,"Immersive VR and Interactive Machine learning: a London-Shanghai Collaboration in art, education, &amp; AI",2019-02-14,2019-08-13,25035,NA,NA,Closed,Artificial Intelligence,Computer Graphics & Visual.,Digital Arts HTP,ICT and education,Image & Vision Computing,NA,https://gtr.ukri.org:443/projects?ref=AH/T001216/1,D7756D2C-4536-44C5-8DDB-CD033D430912,1291772D-DFCE-493A-AEE7-24F7EEAFE0E9,A9B1866C-EE3E-4D81-A83C-118745E9433E,2976B6DA-D6AE-45CC-8936-9E0DAEB19145,180,139.08333333333334
