LeadROName,Title,ProjectReference
University of Edinburgh,A cognitive model of axiom formulation and reformulation with application to AI and software engineering,EP/F035594/1
Imperial College London,A cognitive model of axiom formulation and reformulation with application to AI and software engineering,EP/F036647/1
Heriot-Watt University,A cognitive model of axiom formulation and reformulation with application to AI and software engineering,EP/F037058/1
University of Kent,A Platform for Responsive Conversational Agents to Enhance Engagement and Disclosure (PRoCEED),EP/S027297/1
University of East Anglia,A Platform for Responsive Conversational Agents to Enhance Engagement and Disclosure (PRoCEED),EP/S027424/1
Oxford Brookes University,A Platform for Responsive Conversational Agents to Enhance Engagement and Disclosure (PRoCEED),EP/S027467/1
Cranfield University,A Platform for Responsive Conversational Agents to Enhance Engagement and Disclosure (PRoCEED),EP/S027211/1
University of Cambridge,A Unified Model of Compositional and Distributional Semantics: Theory and Applications,EP/I037512/1
University of Oxford,A Unified Model of Compositional and Distributional Semantics: Theory and Applications,EP/I03808X/1
University of Edinburgh,A Unified Model of Compositional and Distributional Semantics: Theory and Applications,EP/I037415/1
University of York,A Unified Model of Compositional and Distributional Semantics: Theory and Applications,EP/I037539/1
University of Sussex,A Unified Model of Compositional and Distributional Semantics: Theory and Applications,EP/I037458/1
University of Cambridge,ACTION on cancer,EP/R022925/2
University of Manchester,ACTION on cancer,EP/R022925/1
Brunel University,Adaptive Automated Scientific Laboratory,EP/M015661/1
University of Manchester,Adaptive Automated Scientific Laboratory,EP/M015688/1
Goldsmiths College,Adaptive Automated Scientific Laboratory,EP/M015661/2
University of Manchester,ADEPT: Adaptive Dynamic Ensemble Prediction Techniques,EP/F023855/1
University of Birmingham,ADEPT: Adaptive Dynamic Ensemble Prediction Techniques,EP/F025645/1
University of Bristol,ADEPT: Adaptive Dynamic Ensemble Prediction Techniques,EP/F023871/1
University of Oxford,Advanced Dynamic Energy Pricing and Tariffs (ADEPT),EP/I000194/1
Brunel University,Advanced Dynamic Energy Pricing and Tariffs (ADEPT),EP/I000119/1
University of Glasgow,Advancing Machine Learning Methodology for New Classes of Prediction Problems,EP/F009429/1
University of Edinburgh,Advancing Machine Learning Methodology for New Classes of Prediction Problems,EP/F009461/2
University of East Anglia,Advancing Machine Learning Methodology for New Classes of Prediction Problems,EP/F010508/1
University of Sheffield,Advancing Machine Learning Methodology for New Classes of Prediction Problems,EP/F009461/1
