value,n
EP/D050863/1,1
EP/D050863/2,1
EP/E052029/1,1
EP/E052029/2,1
EP/E060722/1,1
EP/E060722/2,1
EP/F009429/1,1
EP/F009429/2,1
EP/F009461/1,1
EP/F009461/2,1
EP/G023360/1,1
EP/G023360/2,1
EP/G030898/1,1
EP/G030898/2,1
EP/H029001/1,1
EP/H029001/2,1
EP/H049061/1,1
EP/H049061/2,1
EP/I001964/1,1
EP/I001964/2,1
EP/I005102/1,1
EP/I005102/2,1
EP/J002607/1,1
EP/J002607/2,1
EP/J004049/1,1
EP/J004049/2,2
EP/J004049/3,1
EP/J017728/1,1
EP/J017728/2,1
EP/J020427/1,1
EP/J020427/2,1
EP/K009788/1,1
EP/K009788/2,1
EP/K015664/1,1
EP/K015664/2,1
EP/L018829/1,1
EP/L018829/2,1
EP/L022796/1,1
EP/L022796/2,1
EP/M00533X/1,1
EP/M00533X/2,1
EP/M015661/1,1
EP/M015661/2,1
EP/M027805/1,1
EP/M027805/2,1
EP/N014243/1,1
EP/N014243/2,1
EP/N028112/1,1
EP/N028112/2,1
EP/N029496/1,1
EP/N029496/2,1
EP/N029577/1,1
EP/N029577/2,1
EP/P009727/1,1
EP/P009727/2,1
EP/P010105/1,1
EP/P010105/2,1
EP/R001227/1,1
EP/R001227/2,1
EP/R006660/1,1
EP/R006660/2,1
EP/R021643/1,1
EP/R021643/2,1
EP/R022925/1,1
EP/R022925/2,1
EP/S033718/1,1
EP/S033718/2,1
ES/N01703X/1,1
ES/N01703X/2,1
NE/S016244/1,1
NE/S016244/2,1
NE/T003952/1,1
NE/T003952/2,1
