date,cumulative
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,6
2020-02-09,7
2020-02-10,7
2020-02-11,8
2020-02-12,8
2020-02-13,8
2020-02-14,8
2020-02-15,9
2020-02-16,9
2020-02-17,9
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,10
2020-02-22,12
2020-02-23,13
2020-02-24,15
2020-02-25,20
2020-02-26,24
2020-02-27,31
2020-02-28,42
2020-02-29,46
2020-03-01,66
2020-03-02,103
2020-03-03,154
2020-03-04,202
2020-03-05,248
2020-03-06,317
2020-03-07,371
2020-03-08,421
2020-03-09,542
2020-03-10,763
2020-03-11,1106
2020-03-12,1512
2020-03-13,1891
2020-03-14,2201
2020-03-15,2585
2020-03-16,3120
2020-03-17,3783
2020-03-18,4671
2020-03-19,5569
2020-03-20,6606
2020-03-21,7614
2020-03-22,8798
2020-03-23,10760
2020-03-24,12738
2020-03-25,14930
2020-03-26,17451
2020-03-27,19977
2020-03-28,22302
2020-03-29,24693
2020-03-30,28108
2020-03-31,31752
2020-04-01,35721
2020-04-02,39630
2020-04-03,43538
2020-04-04,46789
2020-04-05,49782
2020-04-06,53947
2020-04-07,58307
2020-04-08,62399
2020-04-09,66294
2020-04-10,69722
2020-04-11,72633
2020-04-12,75467
2020-04-13,78751
2020-04-14,82113
2020-04-15,86042
2020-04-16,90099
2020-04-17,93910
2020-04-18,97678
2020-04-19,100892
2020-04-20,104342
2020-04-21,108118
2020-04-22,112768
2020-04-23,117190
2020-04-24,121351
2020-04-25,124588
2020-04-26,127579
2020-04-27,131534
2020-04-28,135448
2020-04-29,140073
2020-04-30,144295
2020-05-01,148316
2020-05-02,150987
2020-05-03,153516
2020-05-04,156290
2020-05-05,159353
2020-05-06,162543
2020-05-07,165657
2020-05-08,168223
2020-05-09,169986
2020-05-10,171971
2020-05-11,174996
2020-05-12,177868
2020-05-13,180677
2020-05-14,182846
2020-05-15,184940
2020-05-16,186696
2020-05-17,188266
2020-05-18,190437
2020-05-19,192982
2020-05-20,195298
2020-05-21,197537
2020-05-22,199313
2020-05-23,200602
2020-05-24,201788
2020-05-25,203151
2020-05-26,204583
2020-05-27,206178
2020-05-28,207726
2020-05-29,209078
2020-05-30,210064
2020-05-31,211042
2020-06-01,212330
2020-06-02,213666
2020-06-03,214882
2020-06-04,216013
2020-06-05,217015
2020-06-06,217726
2020-06-07,218382
2020-06-08,219357
2020-06-09,220406
2020-06-10,221479
2020-06-11,222387
2020-06-12,223317
2020-06-13,224094
2020-06-14,224836
